sample	NRF	PBC1	PBC2	TSS_score	FRiP	Peak_count	Alignment_rate	to_keep	study	cell_type	paired_end	stimulated	groups	file
SRR15054781	0.28	0.51	1.94	22.9	0.22	226080	83.71	TRUE	Giles	CD4_BulkNaive	PAIRED	none	Naive_CD4_Tcells	SRA
SRR7650885	0.16	0.39	1.56	22.4	0.22	192660	81.92	TRUE	Calderon	Memory_NK	PAIRED	none	NK	SRA
SRR11149172	0.87	0.93	14.71	9.1	0.32	441877	70.91	TRUE	Xin	Endothelial	PAIRED	hypoxia	Endothelial	SRA
SRR5646940	0.03	0.14	1.09	9.9	0.08	252588	30.91	TRUE	Liu	human_CD4+_T_cell	PAIRED	sclerosis_patient	CD4_Tcells	SRA
SRR15055222	0.7	0.83	5.83	18.6	0.23	210359	53.02	TRUE	Giles	CD8_NonNaive_Tumor	PAIRED	tumor_donor	Non_Naive_CD8_Tcells	SRA
SRR14240823	0.92	0.96	25.65	14.3	0.45	282404	82.81	TRUE	Zhang	induced_pluripotent_stem_cell-derived_macrophages	PAIRED	stimulated	Macrophages	SRA
SRR7650868	0.61	0.78	4.39	10.8	0.18	365452	79.93	TRUE	Calderon	Memory_Tregs	PAIRED	none	Tregs	SRA
SRR11297437	0.9	0.95	19.43	11.5	0.29	190806	66.71	TRUE	Leylek	cDC1	PAIRED	none	DCs	SRA
SRR15054838	0.03	0.16	2.1	20	0.06	359496	82.49	TRUE	Giles	CD8_BulkNaive	PAIRED	none	Naive_CD8_Tcells	SRA
SRR7650881	0.56	0.74	3.72	9.4	0.19	372796	80.35	TRUE	Calderon	Th2_precursors	PAIRED	stimulated	Non_Naive_CD4_Tcells	SRA
SRR15054771	0.09	0.32	1.96	17.2	0.08	253262	80.79	TRUE	Giles	CD4_BulkNaive	PAIRED	none	Naive_CD4_Tcells	SRA
SRR11149162	0.82	0.91	10.64	7.6	0.33	673609	66.97	TRUE	Xin	Endothelial	PAIRED	hypoxia	Endothelial	SRA
SRR15054874	0.53	0.72	3.33	19.7	0.24	182622	81.7	TRUE	Giles	CD8_Naive	PAIRED	none	Naive_CD8_Tcells	SRA
SRR7650864	0.71	0.84	6.21	5.7	0.16	402221	80.2	TRUE	Calderon	Follicular_T_Helper	PAIRED	none	Non_Naive_CD4_Tcells	SRA
